year,ACCESS1-0_rcp45_r1i1p1-days_tmin_blw,ACCESS1-0_rcp85_r1i1p1-days_tmin_blw,bcc-csm1-1_rcp26_r1i1p1-days_tmin_blw,bcc-csm1-1_rcp45_r1i1p1-days_tmin_blw,bcc-csm1-1_rcp60_r1i1p1-days_tmin_blw,bcc-csm1-1_rcp85_r1i1p1-days_tmin_blw,BNU-ESM_rcp45_r1i1p1-days_tmin_blw,BNU-ESM_rcp85_r1i1p1-days_tmin_blw,CanESM2_rcp26_r1i1p1-days_tmin_blw,CanESM2_rcp45_r1i1p1-days_tmin_blw,CanESM2_rcp85_r1i1p1-days_tmin_blw,CCSM4_rcp26_r1i1p1-days_tmin_blw,CCSM4_rcp45_r1i1p1-days_tmin_blw,CCSM4_rcp60_r1i1p1-days_tmin_blw,CCSM4_rcp85_r1i1p1-days_tmin_blw,CESM1-BGC_rcp45_r1i1p1-days_tmin_blw,CESM1-BGC_rcp85_r1i1p1-days_tmin_blw,CNRM-CM5_rcp45_r1i1p1-days_tmin_blw,CNRM-CM5_rcp85_r1i1p1-days_tmin_blw,CSIRO-Mk3-6-0_rcp26_r1i1p1-days_tmin_blw,CSIRO-Mk3-6-0_rcp45_r1i1p1-days_tmin_blw,CSIRO-Mk3-6-0_rcp85_r1i1p1-days_tmin_blw,GFDL-CM3_rcp26_r1i1p1-days_tmin_blw,GFDL-CM3_rcp60_r1i1p1-days_tmin_blw,GFDL-CM3_rcp85_r1i1p1-days_tmin_blw,GFDL-ESM2G_rcp26_r1i1p1-days_tmin_blw,GFDL-ESM2G_rcp45_r1i1p1-days_tmin_blw,GFDL-ESM2G_rcp60_r1i1p1-days_tmin_blw,GFDL-ESM2G_rcp85_r1i1p1-days_tmin_blw,GFDL-ESM2M_rcp26_r1i1p1-days_tmin_blw,GFDL-ESM2M_rcp45_r1i1p1-days_tmin_blw,GFDL-ESM2M_rcp60_r1i1p1-days_tmin_blw,GFDL-ESM2M_rcp85_r1i1p1-days_tmin_blw,inmcm4_rcp45_r1i1p1-days_tmin_blw,inmcm4_rcp85_r1i1p1-days_tmin_blw,IPSL-CM5A-LR_rcp26_r1i1p1-days_tmin_blw,IPSL-CM5A-LR_rcp45_r1i1p1-days_tmin_blw,IPSL-CM5A-LR_rcp60_r1i1p1-days_tmin_blw,IPSL-CM5A-LR_rcp85_r1i1p1-days_tmin_blw,IPSL-CM5A-MR_rcp26_r1i1p1-days_tmin_blw,IPSL-CM5A-MR_rcp45_r1i1p1-days_tmin_blw,IPSL-CM5A-MR_rcp60_r1i1p1-days_tmin_blw,IPSL-CM5A-MR_rcp85_r1i1p1-days_tmin_blw,MIROC-ESM-CHEM_rcp26_r1i1p1-days_tmin_blw,MIROC-ESM-CHEM_rcp45_r1i1p1-days_tmin_blw,MIROC-ESM-CHEM_rcp60_r1i1p1-days_tmin_blw,MIROC-ESM-CHEM_rcp85_r1i1p1-days_tmin_blw,MIROC-ESM_rcp26_r1i1p1-days_tmin_blw,MIROC-ESM_rcp45_r1i1p1-days_tmin_blw,MIROC-ESM_rcp60_r1i1p1-days_tmin_blw,MIROC-ESM_rcp85_r1i1p1-days_tmin_blw,MIROC5_rcp26_r1i1p1-days_tmin_blw,MIROC5_rcp45_r1i1p1-days_tmin_blw,MIROC5_rcp60_r1i1p1-days_tmin_blw,MIROC5_rcp85_r1i1p1-days_tmin_blw,MPI-ESM-LR_rcp26_r1i1p1-days_tmin_blw,MPI-ESM-LR_rcp45_r1i1p1-days_tmin_blw,MPI-ESM-LR_rcp85_r1i1p1-days_tmin_blw,MPI-ESM-MR_rcp26_r1i1p1-days_tmin_blw,MPI-ESM-MR_rcp45_r1i1p1-days_tmin_blw,MPI-ESM-MR_rcp85_r1i1p1-days_tmin_blw,MRI-CGCM3_rcp26_r1i1p1-days_tmin_blw,MRI-CGCM3_rcp45_r1i1p1-days_tmin_blw,MRI-CGCM3_rcp60_r1i1p1-days_tmin_blw,MRI-CGCM3_rcp85_r1i1p1-days_tmin_blw,NorESM1-M_rcp26_r1i1p1-days_tmin_blw,NorESM1-M_rcp45_r1i1p1-days_tmin_blw,NorESM1-M_rcp60_r1i1p1-days_tmin_blw,NorESM1-M_rcp85_r1i1p1-days_tmin_blw
2016,2.937526,5.9355607,2.5645456,0.61360866,9.596741,3.5290337,6.373552,7.0669155,1.493401,3.599044,0.691076,2.2021184,6.3051505,1.6734984,1.4349703,4.9568334,5.193515,0.36456677,9.451089,1.7442534,0.5770281,2.1182027,4.6680017,1.4346823,3.2173007,4.168568,4.0272403,3.8342624,2.5933118,1.6550947,7.276962,3.1843941,7.9114695,4.0592904,5.492877,0.28066766,2.0663686,0.4673295,4.726332,0.12833023,3.5538945,4.090285,8.879161,0.6359596,3.3458517,2.7465522,0.31114516,4.0234838,1.3601667,0.99783623,5.219793,2.4526255,1.6794453,1.3955363,6.1749716,3.2249968,3.6066568,0.3317536,0.9204913,0.80396456,1.7174001,1.0653913,1.2526517,0.7729949,5.2908688,5.9264503,4.338798,3.9969912,1.4573253
2017,0.922716,5.4106045,4.3163905,2.656541,7.3214808,2.179085,1.1784462,13.40233,1.717029,3.7936268,1.5049531,4.122179,3.9859335,3.180535,3.540866,2.391179,2.3227072,1.8756093,5.384312,0.0,0.31664345,7.6083164,0.88459694,9.971381,0.527215,0.13566948,1.5687765,2.8870132,0.96242785,3.170311,8.077988,6.1821513,1.0444005,6.88345,2.3690338,1.4205741,2.3067794,1.4855303,3.4237611,13.426493,1.2651501,6.095262,1.0096389,0.28118715,2.9675906,1.909224,7.255059,1.308385,2.27526,4.500718,1.7730069,0.24005166,2.0031981,0.6814078,4.1026473,9.716287,1.8123463,0.37073594,4.0602837,1.0260979,4.917769,2.0884812,2.8591502,6.4787908,14.105729,2.4640024,7.7324724,4.086356,0.013487731
2018,17.08756,3.5639613,15.507421,13.455648,3.9665995,3.1126544,6.407546,4.920739,1.1132755,0.61437774,0.98930556,2.2105181,0.05727587,6.481669,7.826012,1.5613178,2.017632,0.37695903,1.044779,0.94174093,2.550369,2.1971562,1.9027007,6.9464054,3.9003005,0.38560587,4.064181,0.44509998,2.3430686,4.9732165,3.0700579,5.7730117,3.5721548,1.7068119,5.053685,1.8694835,1.9469833,5.065341,2.770324,3.1795816,3.6612484,7.9613376,1.7425324,0.33160332,7.0510893,7.032686,5.5068054,0.78398514,2.4804196,3.5862863,5.4689293,0.393945,0.6434796,3.998668,0.2147795,1.932234,3.2302556,0.4372261,1.542534,0.053950924,6.180125,12.112973,7.5739245,2.5226371,7.0343122,1.0245656,4.0147414,4.0848436,4.191418
2019,2.9743671,0.17428395,6.0794187,3.5631282,5.6374054,0.0697522,6.522319,2.5178201,1.0318013,4.686442,1.1110474,7.169705,5.0521617,4.1753263,4.3362875,0.15812731,3.378278,4.313159,2.1047614,0.044503596,4.382349,5.5250125,0.026975462,2.4159484,0.2289865,0.8774683,0.71959597,2.0119214,4.8538623,3.4531884,0.08413684,1.7129338,3.2212596,5.627632,3.6364064,1.8159294,2.0543315,3.7088785,0.55153644,4.9824743,13.159127,2.0006375,2.8514657,3.0428197,5.304327,1.599995,0.0,0.40289673,0.5666157,0.51222384,0.6849845,2.0694869,1.5156406,8.369247,0.50405544,3.4937518,2.99966,0.2608812,1.6187115,1.9258684,5.5669255,6.1206894,6.3855834,3.4080367,1.5902277,3.9302871,4.7498975,0.8410396,2.5890865
2020,1.6264523,11.483373,10.071415,7.3598514,7.4606256,2.8483074,2.6243868,15.471589,2.4633577,0.9411116,0.040463194,0.52661973,3.0860887,0.6641282,2.5689347,4.512981,0.5837176,2.8989747,0.013487731,1.7487483,7.634611,0.1876221,2.7143931,4.6625853,3.3314004,3.0270681,2.0682385,6.8531303,3.4496586,2.2010555,6.9603243,0.5924834,4.778923,11.289763,5.4181724,3.852617,5.056805,2.6822228,9.165705,3.6876378,0.74406564,2.2884054,2.086551,2.401677,2.252065,2.338596,1.9277663,2.4112208,4.05646,5.067414,2.1471546,0.5631808,1.1946032,0.01580128,10.915955,1.8009189,1.651512,3.5664506,3.706032,7.6417403,0.15319762,6.3032007,6.014525,6.503791,0.7395208,0.34452558,2.4571164,11.812897,3.1859205
2021,0.16523522,12.454553,2.5462737,2.606087,5.314045,5.725115,1.7305871,1.5996325,0.375083,0.44847307,5.0527024,1.3192065,0.77924293,1.0940726,4.007178,9.33355,7.728382,2.9381588,3.696034,2.1070573,1.6271737,1.9294189,0.05944145,3.4814436,3.6915355,0.5362347,3.8464012,4.295852,1.7536886,1.4456921,0.3700247,1.6987916,6.226006,2.7109375,6.097164,8.448253,7.1542172,2.8041792,10.9762125,1.7376924,0.8574022,5.587557,0.55256164,2.561159,6.3551598,2.1386998,6.8550463,4.906066,1.4351271,1.0872136,2.2377048,0.5448413,3.7292829,0.040463194,0.6743575,3.372664,5.8269477,9.323085,6.0403175,2.1679418,0.9975269,7.729596,7.4826584,16.269312,5.5205383,9.882725,6.4700356,6.6018176,3.5237129
2022,1.0071604,3.2993503,5.3069625,1.2749553,0.110215396,2.7197595,2.7213733,2.4622512,0.783457,3.7817516,1.8795801,4.516201,2.758629,0.7889079,5.4038343,6.480607,2.8643892,0.22280279,9.1768265,14.595115,6.245848,0.5149814,2.9450338,2.3425114,0.029289013,5.3285527,2.7181215,3.6694803,3.9509633,0.38539377,7.9866757,3.2125351,2.360241,10.879291,1.4456508,10.524725,3.9410114,5.7785654,1.6730872,1.2771554,5.520116,5.7681375,1.9181024,0.6525362,2.945781,3.9337604,1.4998088,2.222989,1.1009313,1.6435902,2.009319,0.026975462,5.6142707,1.8841637,1.1160787,5.5875854,2.9414155,14.227194,4.7024207,4.4317307,4.1553698,12.561988,8.282864,8.44869,6.5503597,0.47543502,2.709814,3.9488711,3.0729494
2023,1.6774148,2.1694062,0.27231187,6.2227535,1.1737604,2.7291193,6.2175326,6.5807476,4.7078724,1.1665944,0.9826521,1.4606671,1.674429,1.5536871,2.6653693,22.104477,1.8801333,6.3111796,1.8795917,0.63267297,0.644444,0.22984993,0.45818326,3.0927973,7.118357,1.4111823,4.4038606,0.04277674,0.63513577,2.8234482,1.2041395,1.3390018,10.042467,8.984497,0.71008086,4.840998,4.48278,9.127407,2.947223,3.1738243,4.5865736,4.9744062,6.6230245,5.0542965,4.656143,1.114515,1.7160988,1.6062614,2.554727,1.0573595,1.9031332,0.0,0.2396472,0.24594621,6.443125,0.05481435,0.93463916,2.8983772,7.7959104,0.58791286,2.6201763,8.196332,0.62268347,16.72314,3.4884121,3.4917355,9.501245,1.7941523,2.7074282
2024,1.3748983,3.6089993,4.125995,4.742548,2.696616,1.4734153,8.911601,3.2968667,0.12642114,1.8892635,4.062958,3.2133327,0.7870107,0.6027707,0.50325316,5.2587967,1.9581138,2.0767772,1.0495079,4.124515,0.5524364,1.0422368,3.0234673,5.4883604,4.0527472,1.19053,0.013487731,3.3422892,0.9059133,2.5943289,1.4591776,2.9490461,0.71448094,7.29026,1.2476485,1.2572805,7.5007596,12.116384,5.1626053,3.4524395,2.4142356,0.76080936,7.4038424,0.8709959,0.39496285,2.0630672,1.2117162,0.0905792,0.8354608,1.8705717,2.9762764,0.27670962,5.4366894,4.071264,2.4075499,1.5633277,2.5235283,3.4805105,2.6367588,4.8825645,1.7118803,4.8515706,1.9968349,15.193625,0.4076645,1.1341963,5.3514824,6.1105404,1.3487977
2025,1.3903947,5.6263566,3.4644732,8.138068,15.422871,1.8430043,2.1211107,0.09552111,0.17901465,2.1122842,1.6680536,4.842027,4.595674,7.010483,0.56238014,7.2265644,0.3082445,2.673718,2.2469919,3.285408,3.2738802,3.3407035,3.467773,1.4928726,0.97956395,3.9154649,0.28379002,0.27499166,0.316019,1.2520317,3.61556,0.45808288,0.053950924,5.989705,2.4412475,3.293037,3.3971896,6.6383514,6.828649,8.4132595,6.7601933,2.1469364,0.75834864,0.15058906,3.3475938,0.4027244,0.14695312,1.9306936,0.37285867,1.6508231,1.4456837,10.419525,1.0240301,1.37511,3.3939009,2.3946857,0.3327879,5.8357596,1.3104144,0.979355,3.8264272,5.647116,0.25313845,6.122098,1.4144517,3.2895641,1.8208358,2.8262267,1.7819136
2026,2.250295,0.2528508,4.280254,8.913976,6.996641,2.5990832,0.731832,2.9506881,5.894571,2.2313004,0.56986463,4.0203366,4.814651,1.0004526,4.5501447,3.9332638,3.178295,1.950042,3.4344735,2.59814,0.0,2.2690055,4.37821,2.0414722,3.0344837,4.971332,4.565268,7.0500793,2.223365,4.9739347,4.3950453,1.5848267,1.2935723,3.010256,5.574643,4.833147,3.5056965,2.6981914,3.010312,0.28036943,1.7081,4.752875,4.351918,2.2044075,0.040463194,4.4683037,7.092089,1.2740964,2.6201952,2.4470088,4.0997086,0.45773625,0.083239935,1.9984173,0.5994114,7.7792425,4.4594812,2.5875115,3.8522916,2.4494498,1.4594043,2.2032938,1.3085189,11.51608,5.64596,4.806646,3.7601502,0.780506,7.1441917
2027,1.1082883,2.5567036,2.8159938,0.8956113,6.280362,1.6896192,3.5760365,0.50455946,2.0407724,0.4189822,1.0363997,3.797144,2.944542,2.7557206,5.6300077,0.23133354,3.9970834,3.2422836,2.7434373,1.421977,5.754468,6.470258,0.29495522,1.9840281,0.067438655,5.0663586,6.785383,0.8414301,0.37355718,0.072065756,0.61505073,3.9459693,1.9663857,2.3298557,0.9514767,5.1172075,6.794503,3.2846916,2.3923151,2.321892,4.813857,5.305367,2.2664423,0.88919514,2.784747,0.8646928,0.017528133,3.8556428,1.677425,0.4166083,0.50978285,1.5564337,1.0952547,0.4235434,0.8923063,2.133,1.0810108,5.256931,0.20518558,2.6045666,0.44079563,6.9203677,2.7930033,7.460506,4.4484763,5.7651196,3.9713094,3.760604,0.8122866
2028,0.5512678,0.16044086,0.14972565,9.021406,3.8752432,3.2376173,2.4386952,2.888673,2.3860385,4.11907,0.97367007,0.6442108,2.9780471,0.20668958,0.7088806,1.9066997,6.2614145,5.003909,0.2519856,4.1518555,1.5822462,16.065693,2.8159401,5.271543,4.833989,3.5283637,4.731092,2.632844,0.5821064,1.129359,5.5610757,2.756785,3.7096894,2.4098234,1.684273,12.637182,3.8179116,8.771297,3.9033413,3.1180062,1.4106333,3.6799874,10.690802,2.6161883,0.43768364,2.800318,1.0406133,2.9102376,1.8396933,0.6355928,4.956772,0.95500934,2.541442,0.77425224,2.9346488,2.4727926,0.5466508,0.8835469,0.1905933,6.1832323,2.9335568,6.081955,8.717081,4.0386877,8.192238,4.329329,6.4490595,5.9558554,5.3212423
2029,1.8393277,1.8245195,1.7257863,3.4620872,3.013339,4.350345,4.53481,2.0895298,1.4331851,3.286855,1.3590095,2.9942296,6.160034,4.826235,1.6066849,0.65575105,1.5962046,2.7538939,3.8709748,4.1961617,3.1571589,3.0226033,3.450778,4.855104,3.5388663,4.818424,2.4956152,0.31428066,0.28548995,1.4486644,6.8226438,1.2251743,6.86252,4.1785054,4.760095,2.6408365,8.32971,0.21738653,0.9334269,1.7661147,2.4961092,2.2491052,4.4140368,1.485247,2.8838222,2.0604494,1.9950274,1.1280046,0.3907906,2.2157404,0.029289013,0.029289013,2.1012678,0.0,0.056264475,2.225776,4.3168488,7.914569,1.1978613,2.9147475,1.8930664,7.5150642,9.685496,1.7551817,6.845708,4.6536207,1.6801566,5.807288,3.5469537
